classification,start_time,end_time,duration,f0_mean,f0_std,f0_max,f0_min,f0_reg_coef,f0_reg_coef_mse,f0_slope,mean_distances_f0,silence_before_duration,silence_after_duration,energy_reg,energy_reg_mse,energy_max,energy_mean,mean_coeff_0,mean_coeff_1,mean_coeff_2,mean_coeff_3,mean_coeff_4,mean_coeff_5,mean_coeff_6,mean_coeff_7,mean_coeff_8,mean_coeff_9,mean_coeff_10,mean_coeff_11,mean_coeff_12,std_coeff_0,std_coeff_1,std_coeff_2,std_coeff_3,std_coeff_4,std_coeff_5,std_coeff_6,std_coeff_7,std_coeff_8,std_coeff_9,std_coeff_10,std_coeff_11,std_coeff_12,stability_distance
NFP,1.78,2.28,0.5,178.8997809,9.196246225,185.3521151,172.305911,-19.82379787,4.779384593,-12.20757802,1.2623139,1.76,0,-0.019281253,0.000110335,0.508900227,0.141594039,655.5044975,205.4767991,125.6747059,39.59799712,-1.149713064,-16.70412541,-22.71783266,-4.308845887,0.053500791,5.703433775,-0.188207594,1.545998457,-13.34421537,7.081662557,4.758100615,2.712069674,2.973601355,3.001588148,2.811436592,2.374247577,2.174963906,2.086509689,1.637146143,1.733060515,1.702382902,1.172853319,75.2744692
NFP,1.88,2.38,0.5,177.342692,9.696988988,184.8788617,172.305911,-22.46536305,7.201082687,-17.93291158,1.6252738,0,0,0.033590913,7.29E-05,0.508900227,0.140955925,641.1598287,197.8835539,128.3427412,44.02530407,2.798063245,-10.41572045,-19.27039514,-4.686079822,0.22703475,7.448255258,3.081782368,4.439270741,-15.39407548,6.359837815,4.586450975,2.803026285,3.351717904,2.991809312,3.088252757,2.591317135,2.116293467,2.032324476,1.57798548,1.553586363,1.520768707,1.240561237,71.63419405
NFP,9.76,9.93,0.17,144.392643,10.68670228,160.1386822,147.5325778,-52.77305668,12.39121694,-76.48509991,1.414481987,0.11,0.63,-0.050536005,7.52E-06,0.184455782,0.048811757,464.9026192,98.4997009,130.4173811,94.46787554,62.88603568,40.35227777,6.960136856,-11.62752231,-16.60335872,-7.440482079,-15.98633666,-4.971471517,-13.97677589,8.664028574,4.170975243,3.097297651,4.378087952,4.586898249,3.728454548,2.817335081,2.855219541,1.914915908,2.590300461,2.610873505,1.980482043,2.354504346,35.54350691
FP,11.06,11.56,0.5,124.3081248,11.02781243,126.1008265,120.664349,-14.92551064,0.328390777,-16.682064,0.539893381,0.13,0,0.009597929,0.000314945,0.508900227,0.145663348,629.0577426,187.0019555,129.8164378,78.42712802,61.13338524,52.10021288,3.22246188,-20.24330459,-8.676118719,-1.858119695,-10.82111409,-5.70938912,-15.67862582,9.580767847,5.077797895,2.776465503,1.32942935,1.835582029,1.909768505,1.651307914,2.747074748,1.188925617,1.403742621,1.27202597,1.835554642,1.151348042,41.53170961
FP,11.16,11.66,0.5,120.8958164,3.461959055,125.3822963,119.9987792,-14.08211785,0.262264745,-13.17817159,0.457670419,0,0,-0.077942122,7.66E-05,0.508900227,0.147058519,644.3217225,204.579862,138.2672974,79.42901303,65.27055612,54.67797234,4.882457919,-17.46923376,-11.28374686,-3.276313353,-11.04481228,-9.894494025,-17.30197577,7.111324768,1.99156113,2.849323306,1.186462378,1.420137357,1.462863633,1.673090208,2.600282816,1.20755176,1.377750194,1.154601945,1.722809545,1.029451621,21.96998855
FP,11.26,11.76,0.5,119.8350856,2.950052901,123.9723084,119.9987792,-7.174441559,0.774729499,-5.16934567,0.51723247,0,0,-0.01934774,4.15E-05,0.508900227,0.144668757,617.1604638,197.7005447,146.336134,85.01694889,64.71797226,46.77726661,5.840188276,-10.35416317,-15.67043753,-10.46366687,-16.55204477,-14.58722197,-14.44143371,5.625501321,1.710902329,2.559081286,1.3991917,1.524477986,1.376360041,1.749667429,1.747926673,1.336635324,1.478450976,1.278269432,1.152583625,1.130634655,19.25394738
NFP,13.04,13.54,0.5,137.1520907,18.21522961,160.051904,117.1556619,-75.56278007,98.01891118,-54.2807925,3.131706993,0,0,-0.122221622,0.001026033,0.508900227,0.156133346,663.7011734,189.9818215,142.0632622,111.4140889,50.89534279,14.3848025,-10.04988189,-13.11834751,-11.07151939,-10.84416328,-15.42290798,-8.544489323,-11.31876659,8.61027501,7.412373451,4.617311104,3.890675232,4.049607368,3.399003733,2.173894173,2.502179486,1.744083,1.865314817,1.697229434,1.47943291,1.972388578,67.57671077
NFP,13.14,13.64,0.5,130.3457624,19.65834193,159.6402246,115.3881357,-90.76353181,55.50289925,-140.5363371,2.263452484,0,0,-0.052389738,0.000833928,0.508900227,0.152036334,664.8739903,196.7298339,144.1276502,99.7475869,36.66244479,6.859299377,-6.685701309,-6.666149119,-14.77001885,-16.98841475,-14.46245944,-4.521298443,-9.657807345,8.415596216,7.63496923,4.596597429,4.086278557,2.680103194,2.779932311,2.174695358,1.796597175,1.844165643,1.896152053,1.645842164,1.58559395,2.099132478,43.28693469
NFP,13.24,13.74,0.5,119.7566729,10.57808168,125.3664991,115.1241288,-20.23046016,4.036762405,-33.98281947,0.994778764,0,0,-0.086261036,0.000780156,0.508900227,0.150028798,693.8497884,195.8434921,129.8914079,97.68944116,27.35399252,0.928489899,-10.3441921,-12.16086765,-18.74849602,-19.97238534,-12.33113831,0.959904985,-7.292231858,6.880660171,8.359196267,5.320158397,4.173355657,2.117218201,2.386377658,2.31877527,2.091468639,2.075501577,1.942859816,1.639024874,1.785417655,2.075653024,39.29814695
NFP,13.34,13.84,0.5,111.9506751,11.3082529,119.1469016,76.55622876,-50.27561457,91.11894,-0.866244495,1.731152026,0,0,-0.002173276,0.000354471,0.508900227,0.144684225,681.3541644,167.0791659,115.1514504,106.1738581,24.17140318,1.165380146,-7.152185392,-12.1331921,-22.23644343,-20.64016124,-8.569887352,-0.643058186,-11.81169067,6.716159977,8.770775862,6.039366205,4.2746082,2.528200905,2.616670508,2.352858861,2.030765744,1.701169811,2.141332952,1.373744992,1.798504737,1.744996371,48.39257145
