classification,start_time,end_time,duration,f0_mean,f0_std,f0_max,f0_min,f0_reg_coef,f0_reg_coef_mse,f0_slope,mean_distances_f0,silence_before_duration,silence_after_duration,energy_reg,energy_reg_mse,energy_max,energy_mean,mean_coeff_0,mean_coeff_1,mean_coeff_2,mean_coeff_3,mean_coeff_4,mean_coeff_5,mean_coeff_6,mean_coeff_7,mean_coeff_8,mean_coeff_9,mean_coeff_10,mean_coeff_11,mean_coeff_12,std_coeff_0,std_coeff_1,std_coeff_2,std_coeff_3,std_coeff_4,std_coeff_5,std_coeff_6,std_coeff_7,std_coeff_8,std_coeff_9,std_coeff_10,std_coeff_11,std_coeff_12,stability_distance
NFP,1.73,2.16,0.43,192.795065,12.00629425,206.4528028,172.8381141,-37.50164676,80.19676769,-165.3431429,2.263659494,1.71,0.14,-0.025160103,0.001049142,0.440011338,0.134421447,729.2714677,178.4525144,82.07821865,97.50640593,26.74985321,-43.41244481,-28.17289491,-6.083928096,-15.34483385,-2.106208421,-3.770039944,-2.568032991,-17.05958631,10.20296724,11.4330916,10.93451706,6.190610023,3.591408532,3.554782182,2.396596768,2.096679522,1.588371473,1.493406412,1.303400046,1.440066,1.949958468,63.25450344
NFP,7.79,8.29,0.5,185.4686594,9.248031568,198.611257,179.5639278,-37.54278222,10.89833699,-36.66845227,1.106599379,0.14,0,-0.07915595,0.000133561,0.508900227,0.142550419,611.3478405,151.6753705,102.3294635,90.66717764,77.54775102,44.59450759,-5.866004606,-33.67838417,-32.71529925,-1.797696075,1.387824591,-1.416877738,-16.00337609,7.459438973,2.616850672,4.147583004,1.937611767,1.897409428,1.774340466,2.209601294,2.502659442,1.515362983,1.893193412,1.61036894,1.606256159,1.30226967,56.46214473
NFP,8.44,8.64,0.2,198.4023718,28.22848095,231.0639466,186.9930306,295.8999176,83.48027039,318.4454513,3.679394932,0.13,0.23,-0.004899015,4.45E-06,0.215566893,0.058591226,613.8574391,190.9161716,132.1894659,37.30575591,-10.70347163,-16.98958029,-7.085282585,4.627107641,-8.662284711,4.931556853,5.817694994,2.113111012,-19.05742687,9.187690472,2.464753397,2.982092675,2.4350363,2.540477608,2.13384016,3.301207763,2.996323948,2.157523568,2.425648625,2.665339552,1.503887624,1.643187117,31.74645415
NFP,8.87,9.13,0.26,182.6975493,8.010112395,192.3839815,184.5343438,-14.3889152,5.649953102,-17.46078674,0.908241486,0.23,0.36,-0.011513726,7.47E-06,0.273344671,0.072959727,611.5939757,161.5685352,81.35195237,34.43255809,39.17457522,37.35741887,4.772672017,-23.17297209,-31.79957798,-6.158244367,0.832440257,11.81008066,-8.409473659,13.35454289,6.813980508,3.472677709,5.293299013,3.286473272,1.915352954,3.570353648,3.840089105,1.951553633,1.46107446,1.513037111,1.906829367,1.880866932,50.35035047
FP,9.68,10.02,0.34,98.60032477,4.939087931,105.7168806,98.10472787,-6.097378902,3.680286298,-24.02943327,0.646844067,0.16,0.24,-0.010757456,1.51E-05,0.351122449,0.093024566,534.8703371,131.9840708,103.3244284,47.84668911,35.02128227,22.92557685,-8.200954168,-21.32834468,-19.80046962,0.865193144,-4.742362576,2.563333369,-8.064626513,9.644397078,6.78754795,2.899027809,3.367072528,2.364601388,1.932717122,2.252753322,2.894441727,1.794757223,1.718795422,1.598734907,1.698343718,1.94172293,37.67691507
NFP,10.26,10.75,0.49,197.4381657,18.6826107,211.2781201,185.2282999,30.96751122,37.67207396,39.30888898,1.359054263,0.24,0.27,-0.013845608,0.000159093,0.497789116,0.13964739,678.640369,188.4482734,85.17513749,49.87080591,48.25353564,20.43913461,-38.24591703,-56.36563385,-22.58845072,6.500435673,-4.388697574,14.36163769,8.260490373,6.211125155,3.22550821,2.334800926,2.307784971,1.644043001,1.746465173,2.905859911,2.408098093,1.814327268,1.763220815,1.7954547,2.382530364,1.864103249,46.58572342
NFP,11.02,11.41,0.39,188.71188,13.01134065,203.3854517,183.9488977,-51.2269588,9.791481788,-38.9492114,1.606805678,0.27,0.16,0.001491806,8.58E-06,0.400011338,0.105011315,589.5324798,132.3837788,74.6110661,21.27353897,5.269425251,20.84325658,12.31217384,-12.16868119,-10.5935473,2.015970538,-11.7662347,1.586278795,-1.505660359,10.54118481,5.922926929,4.177457723,3.430620664,3.274652975,2.59255463,3.099727614,1.893146765,2.454106458,2.258407805,1.549110537,1.523570477,1.59521963,52.07806274
NFP,11.57,11.87,0.3,190.905839,15.11867017,209.4227408,185.4300475,47.38106473,49.28732198,-50.23848564,4.745010254,0.16,0.17,-0.012066067,8.78E-06,0.313344671,0.08222331,545.4292134,120.3632344,85.16067467,34.55821187,15.63532718,16.45483307,7.688500659,-15.13677351,-23.43100416,-4.06883604,-6.192182172,-0.426650284,-12.32089043,15.1166862,7.83260831,4.246917926,5.534378775,4.684942313,2.268599042,2.819694251,2.670891413,2.250202336,1.933557545,1.660091261,2.076342809,1.814095662,62.60602393
NFP,12.04,12.54,0.5,190.7888166,7.935232121,197.2607548,190.6267996,5.406209535,2.780276779,-28.16710808,0.938810553,0.17,0,0.05606501,0.000786396,0.508900227,0.144300468,685.0949817,147.930935,51.81418477,60.75855718,37.40627767,-1.258169037,-33.86561793,-52.36423316,-39.96834115,-9.775996354,-3.258702207,11.74618153,-1.540913797,14.87312955,10.50733294,6.26818775,3.581549026,2.615641923,2.747214133,3.346702176,4.336219783,2.06258042,1.987490202,1.455130146,1.637895127,1.534587118,81.37682462
NFP,13.54,14.04,0.5,200.4822369,8.98356437,213.7341981,194.9353335,0.53051448,37.65226949,-75.45024791,2.543718714,0.96,0,-0.004368209,0.00033562,0.508900227,0.137864843,573.3731248,103.5987636,91.8713687,82.15963018,10.44336752,-1.038157605,-3.163930905,-21.2515711,-20.76045089,-1.984725886,-8.180968089,-6.05725146,-14.5523185,11.96604785,8.55169196,6.120048168,4.832100591,4.119396172,4.001163195,4.165196608,3.505899403,2.515405418,2.389396293,1.951694539,1.859790908,1.658479487,47.75238251
