classification,duration,f0_mean,f0_std,f0_max,f0_min,f0_reg_coef,f0_reg_coef_mse,f0_slope,mean_distances_f0,silence_before_duration,silence_after_duration,energy_reg,energy_reg_mse,energy_max,energy_mean,mean_coeff_0,mean_coeff_1,mean_coeff_2,mean_coeff_3,mean_coeff_4,mean_coeff_5,mean_coeff_6,mean_coeff_7,mean_coeff_8,mean_coeff_9,mean_coeff_10,mean_coeff_11,mean_coeff_12,std_coeff_0,std_coeff_1,std_coeff_2,std_coeff_3,std_coeff_4,std_coeff_5,std_coeff_6,std_coeff_7,std_coeff_8,std_coeff_9,std_coeff_10,std_coeff_11,std_coeff_12,stability_distance
NFP,0.5,82.6998598,4.743205816000001,88.35291283,78.68885936,-8.444788871,8.161988771,-20.41174144,1.68393331,0.0,0.0,-0.062167982000000004,0.037490489,1.040679361,0.273735203,835.462099,295.7125188,149.38524280000001,77.27846579,40.05844698,1.9682380119999998,-39.489064299999995,-51.83659603,-42.79950122,-9.835374253,-18.1982218,-3.009678788,15.37205218,10.92780894,3.689293203,5.333004596,4.043267475,2.9845385110000002,3.6022778539999996,3.20307825,2.194956678,3.192363082,2.399248041,1.8073831409999999,1.450280054,2.200648369,85.07936379
NFP,0.5,79.42440827,3.682538152,84.15454479,75.98488469,-10.4547905,4.0852495939999995,3.8089695139999997,1.183539962,0.6,0.0,-0.462366879,0.421855957,2.4642228790000003,0.44104040299999997,983.4170508,338.73094219999996,65.53565626,-4.554121183,-10.19679582,-10.25007495,-33.05741972,-19.23983222,4.156362308,18.47039665,-21.11867916,-15.27480735,5.815635184,15.57689976,6.498230176,5.474729821,3.575425497,2.9119215,3.52810736,3.505281633,2.7347152510000003,4.2785971389999995,3.1895402839999996,1.984179229,1.8118034369999998,2.263850871,91.81564887
NFP,0.5,84.49908063,5.746876062999999,91.54752596,80.60572362,18.25032755,2.980211432,4.43955783,1.16305457,0.0,0.0,5.589043292,0.6750921990000001,3.964178033,0.652676363,976.6235547,283.9017491,21.40148905,67.51102598,52.33326457,29.56688278,-46.1030275,-51.36079713,-23.134474700000002,-1.481695926,-31.984590899999997,-2.942705872,10.74926142,23.52950759,10.17480756,5.183540778999999,3.516057485,6.735366289,6.629072504,5.258484777,3.710967445,3.526116845,4.018311961,1.9701304730000002,2.054230337,2.565592655,143.45650600000002
NFP,0.14,75.90572835,5.976917165,82.12374851,80.68379788,-4.214719078,0.414118338,-18.88691449,0.451366596,0.19,0.14,-0.45537344,0.002001035,0.170286126,0.070733005,835.8176529,274.1096769,126.1153827,66.10135644,19.24395251,-42.44137248,-65.6644567,-42.3103011,-5.792005556,21.15333541,-9.793210299,-7.491400279,15.97898947,8.638215574,10.44037176,6.67697432,4.277143713,4.0346613510000005,3.1505929619999997,10.05966392,4.7922930169999995,2.80311487,5.391734043,3.9052094239999997,3.005199905,2.094620849,46.46438245
NFP,0.5,82.70429037,3.578801383,87.52994602,80.00877294,9.04851088,3.424470628,30.41427395,1.327716283,0.0,0.0,-0.246853792,0.002963488,0.508900227,0.188995503,774.1778528,238.01922620000002,108.68314369999999,76.51129736,65.48754589,35.7456153,-3.7790770989999998,-24.23118933,-26.90469998,-7.673301136,-15.20768988,-3.25408927,5.248775171,7.9898096789999995,5.652825621,5.6359720310000005,3.392170428,3.197587934,3.881965663,3.409937985,2.7846778860000003,2.52224144,1.867305374,1.511240479,1.656498311,2.1146679390000003,94.26448955
NFP,0.22,76.86153329,5.3462532,83.43666459,80.46489433,-4.646233982,2.031920813,-14.45128345,1.273964052,0.37,0.49,0.291478657,0.044187852,0.891252189,0.184675886,1004.040718,313.1495869,40.16103702,46.01047929,49.16538804,34.97511125,-26.90123095,-73.3176814,-37.33390143,-9.199084077,-34.16220824,-1.490843528,25.20288535,17.3797245,9.121166423,5.3838662610000005,8.321742932000001,8.228161907999999,6.644800892,4.240288789,3.9110589410000003,4.447004555,4.035162726,2.888542457,2.7478082269999997,2.9670654030000003,80.16288937
NFP,0.5,79.17644240000001,3.975621774,82.16658749,78.86570017,-4.668332113,0.549089637,0.092902095,0.636346544,0.0,0.0,1.121759795,0.496917531,3.5293153310000003,0.5026718920000001,1039.834163,330.4956275,29.18028445,28.80466459,21.00880007,13.94235953,-29.87866711,-50.23802303,-45.36875344,-11.34132373,-12.59916968,15.04651016,10.71986017,12.49481702,7.414396556,3.75705007,5.0484126719999995,4.820935205,4.3747517060000005,2.706967622,3.813777773,4.424893947,2.130015006,2.003569628,2.207079163,2.1836329009999997,102.82348780000001
NFP,0.5,82.34251743,4.931127731,88.35291283,78.68885936,-13.75448312,6.896501198999999,-31.55862468,1.75248025,0.0,0.0,-0.170571322,0.034323400000000004,1.0271908140000001,0.251605395,797.4956102000001,281.1161255,159.27800180000003,78.71518313,35.89433144,13.18293909,-27.07932126,-47.47628731,-39.84681929,-6.043468477999999,-11.020536400000001,-2.66159882,5.146850314,11.03502299,4.638722233999999,4.660530595,3.999360527,2.8808923089999996,4.298578923,4.06138558,2.324465004,3.1141208039999997,2.026412891,1.4076449869999998,1.690814375,2.342961803,76.60545333
NFP,0.5,81.14071286,3.2437733239999997,85.50228236,78.72006674,-8.503777364,2.3983963740000003,-27.94306929,0.819156434,0.0,0.0,-0.774721309,0.165636756,1.6748464440000002,0.36871264600000003,930.7062983,291.30661119999996,72.58754657,52.24219229,32.48474605,6.7594721920000005,-35.74322055,-49.41328702,-37.972464200000005,-26.98778265,-51.26638803,-13.63164764,25.92025011,7.596715382999999,7.7775231289999995,7.399271299,4.050440841,2.088980599,2.232498365,2.916525529,3.490749707,2.658781784,3.1873243560000004,1.854932645,1.988950082,2.343652935,89.55020079999998
NFP,0.5,80.79759685,2.9168201160000002,84.19527536,78.68885936,4.591740857,3.0972903869999997,-31.57991946,1.377976459,0.0,0.0,-0.600539939,0.028129862999999998,1.040545278,0.22598089,807.5865771000001,258.2912492,118.9001646,62.67483618,54.33413698,57.71683011,10.67455669,-39.72770895,-48.8587616,-12.75933768,-11.14013118,-4.086146835,5.018985718,11.30700162,4.02963529,3.221498097,3.2926238989999996,3.3432276830000003,2.5358607230000003,2.317819859,2.682584275,2.1285115709999998,1.6562333969999998,1.511267015,1.8957043869999999,2.532342374,56.48644582
